index,premise,hypothesis,pattern,type,section_id,pattern_label,lexical_jaccard,lexical_coverage,digits_premise,digits_hypothesis,pct_premise,pct_hypothesis,units_premise,units_hypothesis,numeric_total,neg_premise,neg_hypothesis,neg_total,words_premise,words_hypothesis,trial_primary,trial_secondary
46,"Adverse Events 1:
  Total: 5/25 (20.00%)
  Hypertension 1/25 (4.00%)
  Dehydration 1/25 (4.00%)
  Infection With Normal Anc Or Grade 1 Or 2 Neutrophils 2/25 (8.00%)
  Pain 1/25 (4.00%)
  Dyspnea (Shortness Of Breath) 2/25 (8.00%)",at least one patient in the primary trial suffered several different adverse events,11,Single,Adverse Events,Les 2 corrects,0.05555555555555555,0.15384615384615385,40.0,0.0,6.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,45.0,13.0,1.0,0.0
47,"Outcome Measurement: 
  Lymphedema as Measured at Baseline and at 6 Weeks
  Changes in lymphedema between groups, as measured by mean arm circumference assessed at baseline and after 6 weeks from baseline.
  Time frame: 6 weeks
Results 1: 
  Arm/Group Title: Acupuncture
  Arm/Group Description: Patients in the acupuncture group will receive acupuncture treatment twice weekly for six consecutive weeks.
  Acupuncture: Each treatment will be 30 minutes in duration. Patients will receive two acupuncture treatments each week for six consecutive weeks. Patients will be advised to continue their standard lymphedema treatments such as exercise or use of compression garments if these were in use prior to clinical trial participation.
  Overall Number of Participants Analyzed: 40
  Mean (Standard Deviation)
  Unit of Measure: cm  Baseline: 4.74         (2.23)
  6 weeks: 4.29         (2.67)
Results 2: 
  Arm/Group Title: Wait-list
  Arm/Group Description: Patients in the wait-list control group will cross over and receive acupuncture twice weekly for 6 consecutive weeks.
  Wait-list: For participants in the wait-list control group, follow-up objective and subjective assessments of lymphedema will be performed after approximately 6 weeks on the wait-list, before onset of acupuncture treatment, following 6 weeks of acupuncture treatment and about 3 months after completion of treatment. BMI will be measured at the same timepoints.
  Overall Number of Participants Analyzed: 42
  Mean (Standard Deviation)
  Unit of Measure: cm  Baseline: 4.82         (2.32)
  6 weeks: 4.76         (2.68)",Acupuncture Patients in the primary trial saw better changes in their Lymphedema than patients administered with testosterone Cream.,11,Single,Results,Les 2 corrects,0.06837606837606838,0.5,41.0,0.0,0.0,0.0,8.0,0.0,49.0,0.0,0.0,0.0,241.0,18.0,1.0,0.0
48,"Adverse Events 1:
  Total: 0/21 (0.00%)

Adverse Events 1:
  Total: 3/8 (37.50%)
  Anaemia 0/8 (0.00%)
  Febrile neutropenia 0/8 (0.00%)
  Polycythaemia 0/8 (0.00%)
  Acute coronary syndrome 0/8 (0.00%)
  Vertigo 0/8 (0.00%)
  Eyelid oedema 1/8 (12.50%)
  Constipation 0/8 (0.00%)
  Diarrhoea 0/8 (0.00%)
  Nausea 0/8 (0.00%)
  Stomatitis 0/8 (0.00%)
  Upper gastrointestinal haemorrhage 0/8 (0.00%)
  Vomiting 0/8 (0.00%)
  Chest pain 0/8 (0.00%)
Adverse Events 2:
  Total: 2/6 (33.33%)
  Anaemia 0/6 (0.00%)
  Febrile neutropenia 0/6 (0.00%)
  Polycythaemia 0/6 (0.00%)
  Acute coronary syndrome 0/6 (0.00%)
  Vertigo 0/6 (0.00%)
  Eyelid oedema 0/6 (0.00%)
  Constipation 0/6 (0.00%)
  Diarrhoea 0/6 (0.00%)
  Nausea 0/6 (0.00%)
  Stomatitis 0/6 (0.00%)
  Upper gastrointestinal haemorrhage 0/6 (0.00%)
  Vomiting 0/6 (0.00%)
  Chest pain 1/6 (16.67%)","The only types of Aes observed in patients from the secondary trial were Eyelid oedema, Upper gastrointestinal haemorrhage and Chest pain, no aes wererecorded in the primary trial",01,Comparison,Adverse Events,P1✗ KATE✓,0.1320754716981132,0.30434782608695654,153.0,0.0,29.0,0.0,0.0,0.0,182.0,0.0,1.0,1.0,168.0,28.0,1.0,1.0
49,"INTERVENTION 1: 
  Phase 2 Triple -ve
  Phase 2, Triple - Negative cohort
INTERVENTION 2: 
  Phase 2 HER2+
  Phase 2, HER2 - Amplified (HER2-Positive) cohort","cohort 1 of the primary trial is administered PR negative, ER negative and HER- whereas cohort 2 recieves HER2+",10,Single,Intervention,P1✓ KATE✗,0.21739130434782608,0.29411764705882354,9.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,23.0,19.0,1.0,0.0
50,"INTERVENTION 1: 
  Inframammary Fold Incision Cohort
  Inframammary fold incision which is in the crease under the breast.
  Perfusion of the involved breast will be monitored at three separate time points using laser-assisted fluorescence angiography (Spy Elite, LifeCell)
  Intraoperatively prior to mastectomy
  At the conclusion of NASSM (following completion of mastectomy procedure and prior to implant insertion during reconstruction) - (ie. Mastectomy done, implant not in yet)
  Following the conclusion of reconstruction with an immediate implant and skin closure with either temporary staples or final suture placement (ie. Mastectomy done and implant in)
INTERVENTION 2: 
  Lateral Radial Incision Cohort
  Lateral radial incision
  Perfusion of the involved breast will be monitored at three separate time points using laser-assisted fluorescence angiography (Spy Elite, LifeCell)
  Intraoperatively prior to mastectomy
  At the conclusion of NASSM (following completion of mastectomy procedure and prior to implant insertion during reconstruction) - (ie. Mastectomy done, implant not in yet)
  Following the conclusion of reconstruction with an immediate implant and skin closure with either temporary staples or final suture placement (ie. Mastectomy done and implant in)",laser-assisted fluorescence angiography is used for both interventions in the primary trial.,11,Single,Intervention,Les 2 corrects,0.09859154929577464,0.5384615384615384,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,176.0,13.0,1.0,0.0
51,"Adverse Events 1:
  Total: 0/4 (0.00%)
  Anaemia 0/4 (0.00%)
  Febrile neutropenia 0/4 (0.00%)
  Leukocytosis 0/4 (0.00%)
  Neutropenia 0/4 (0.00%)
  Pancytopenia 0/4 (0.00%)
  Acute coronary syndrome 0/4 (0.00%)
  Acute myocardial infarction 0/4 (0.00%)
  Atrial fibrillation 0/4 (0.00%)
  Atrial flutter 0/4 (0.00%)
  Cardiac arrest 0/4 (0.00%)
  Pericardial effusion 0/4 (0.00%)
Adverse Events 2:
  Total: 0/3 (0.00%)
  Anaemia 0/3 (0.00%)
  Febrile neutropenia 0/3 (0.00%)
  Leukocytosis 0/3 (0.00%)
  Neutropenia 0/3 (0.00%)
  Pancytopenia 0/3 (0.00%)
  Acute coronary syndrome 0/3 (0.00%)
  Acute myocardial infarction 0/3 (0.00%)
  Atrial fibrillation 0/3 (0.00%)
  Atrial flutter 0/3 (0.00%)
  Cardiac arrest 0/3 (0.00%)

Adverse Events 1:
  Total: 0/1674 (0.00%)","2/73 the primary trial participants, and 0/1674 the secondary trial participants suffered an Acute myocardial infarction",11,Comparison,Adverse Events,Les 2 corrects,0.16666666666666666,0.4,126.0,8.0,24.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,146.0,18.0,1.0,1.0
52,"Outcome Measurement: 
  Number of Participants With Treatment-emergent AEs at Cycle 1
  [Not Specified]
  Time frame: At the end of Cycle 1 (each cycle is 21 days)

Outcome Measurement: 
  Total Sleep Time as Measured by Polysomnography (PSG)
  Polysomnography (PSG) was done to measure the total sleep time in minutes. It was measured as a change in total sleep time between the before and after 1st cycle of treatment with Lenalidomide.","the primary trial is evaluating the number of patients who suffer treatment related adverse events, whereas the secondary trial measures the Median sleep time of its patients in minutes.",00,Comparison,Results,Les 2 en erreur,0.15517241379310345,0.391304347826087,5.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,70.0,29.0,1.0,1.0
53,"INTERVENTION 1: 
  Patients - Intervention
  For the intervention arm of the study, patients will be invited to view the educational DVD explaining end-of-life care options and meet with a lay health advisor for discussion.
  Educational DVD: African American patients and their primary non-professional caregivers will watch a DVD created to introduce end-of-life care planning to African Americans receiving palliative care.
INTERVENTION 2: 
  Patients - Control
  Patients will receive usual care (nor view the DVD or meet with the lay health advisor).","Only cohort 1 of the primary trial will view the Educational DVD as part of the intervention, Cohort 2 will instead receive a regular dosage of radiotherapy",11,Single,Intervention,Les 2 corrects,0.21052631578947367,0.5714285714285714,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,84.0,27.0,2.0,0.0
54,"INTERVENTION 1: 
  Arm A1: 90 mg PF-05212384 + Docetaxel
  Participants with castrate resistant prostate cancer (CRPC), advanced breast cancer (ABC), or non-small cell lung cancer (NSCLC) that were candidates to treatment with a docetaxel-based combination. Each treatment cycle was defined as 21 days. Participants received intravenous infusion of PF-05212384 90 mg once on Day -7 and Cycle 1 Day 2, and docetaxel 75 mg/m2 1-hour IV infusion once on Cycle 1 Day 1. On Day 1 for Cycles 2 and beyond, participants received docetaxel 75 mg/m2 1-hour IV infusion once followed by PF-05212384 90 mg once. The maximum duration of PF-05212384 treatment was 505 days and the maximum duration of docetaxel treatment was 445 days.

INTERVENTION 1: 
  Intra-operative Mammography
  Intra-operative Specimen Mammography
  Intra-operative Mammography: The patient's breast specimen will be imagine in the operating room in an intra-operative imaging device - Biovision SN #30042
INTERVENTION 2: 
  Standard Mammography
  Standard Specimen Mammography
  Standard Mammography: There is not an added device associated with this arm.","the primary trial uses a 1 month cycle for its intervention, the secondary trial, on the other hand does not have a cyclic treatment in place.",00,Comparison,Intervention,Les 2 en erreur,0.09900990099009901,0.45454545454545453,70.0,1.0,0.0,0.0,10.0,1.0,82.0,2.0,1.0,3.0,176.0,26.0,1.0,1.0
55,"Inclusion Criteria
  Patients with histologically proven DCIS or stage I-III invasive carcinoma of the breast that is estrogen and/or progesterone receptor positive by immunohistochemical staining who are considering aromatase inhibitor therapy; women may receive the AI on this study as initial adjuvant hormonal treatment or following tamoxifen; patients must have completed any adjuvant chemotherapy; patients may have received preoperative chemotherapy",Patients diagnosed with Ductal carcinoma in situ who are considering AI therapy are eligible for the primary trial.,11,Single,Eligibility,Les 2 corrects,0.14754098360655737,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,18.0,1.0,0.0
56,"INTERVENTION 1: 
  Adult Cancer Patients 65 Years of Age and Older
  Vaccine Responses Against Pneumococcus and Influenza in Adult Cancer Patients 65 Years of Age and Older
INTERVENTION 2: 
  Healthy Volunteers
  Vaccine Responses Against Pneumococcus and Influenza in Adults 65 Years of Age and Older","Every participant in the primary trial recieves the same intervention, regardless of whether or not they have cancer.",00,Single,Intervention,Les 2 en erreur,0.11764705882352941,0.23529411764705882,8.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,1.0,1.0,45.0,18.0,1.0,0.0
57,"INTERVENTION 1: 
  Doxorubicin+Cyclophosphamide (AC) Followed by Docetaxel (AC→T)
  Doxorubicin 60 mg/m² IV bolus injection in combination with cyclophosphamide 600 mg/m² IV bolus injection on Day 1 of every 3 weeks for 4 cycles followed by docetaxel 100 mg/m² IV infusion every 3 weeks for another 4 cycles.
INTERVENTION 2: 
  AC Followed by Docetaxel + Herceptin (AC→TH)
  Doxorubicin 60 mg/m² IV bolus injection in combination with cyclophosphamide 600 mg/m² IV bolus Injection on Day 1 of every 3 weeks for 4 cycles. Herceptin 4 mg/kg IV infusion on Day 1 of Cycle 5, followed by Herceptin 2 mg/kg by IV infusion weekly starting from Day 8; and docetaxel 100 mg/m² IV infusion on Day 2 of Cycle 5, then on Day 1 of every 3 weeks for all subsequent cycles ( total 4 cycles). After completion of the last cycle of chemotherapy, Herceptin 6 mg/kg IV infusion was administered every 3 weeks until 1 year from date of initial Herceptin dose.","Both cohorts of the primary trial receive the same dosage of Docetaxel, Doxorubicin and Cyclophosphamide throughout the trial at the same frequency, however cohort 2 includes three extra treatment cycles of these particular drugs",11,Single,Intervention,Les 2 corrects,0.10256410256410256,0.2962962962962963,39.0,1.0,0.0,0.0,19.0,0.0,59.0,0.0,0.0,0.0,170.0,34.0,1.0,0.0
58,"Adverse Events 1:
  Total: 1/208 (0.48%)
  Neutrophils/granulocytes (ANC/AGC) 1/208 (0.48%)
Adverse Events 2:
  Total: 0/201 (0.00%)
  Neutrophils/granulocytes (ANC/AGC) 0/201 (0.00%)

Adverse Events 1:
  Total: 0/34 (0.00%)",In both the primary trial and the secondary trial there were several adverse events which occurred in more than 30% of participants.,11,Comparison,Adverse Events,Les 2 corrects,0.0625,0.10526315789473684,37.0,2.0,5.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,40.0,22.0,1.0,1.0
59,Anorexia  1/50 (2.00%),eating disorders were not common for the primary trial candidates,10,Single,Adverse Events,P1✓ KATE✗,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,5.0,10.0,1.0,0.0
60,"Inclusion Criteria:
  Prior written consent in participating in the study by the subject or his/her private attorney.
  Japanese female >=18 years of age.

Inclusion Criteria:
  A subject was eligible for inclusion in this study only if all of the following criteria apply:
  Subjects must have histologically confirmed invasive breast cancer with Stage IV disease at primary diagnosis or at relapse after curative-intent surgery. Where the disease was restricted to a solitary lesion, the neoplastic nature of the lesion should have been confirmed by cytology or histology.
  Documented amplification of ErbB2 3+ by immunohistochemistry or a positive score (>2.2) by FISH using a local laboratory result (which was considered sufficient in this study with no further verification by a central laboratory).
  Subjects must have received no more than one prior chemotherapeutic regimen in the metastatic setting.
  If a taxane had been administered in the neoadjuvant, adjuvant or metastatic setting, progression must have occurred 12 months after completion of this treatment.
  Prior therapy with radiation for this breast cancer population was permitted if it was administered in the neoadjuvant or adjuvant non metastatic setting. Radiotherapy given in the metastatic setting, prior to initiation of study medication, was allowed to a limited area (e.g., palliative therapy and involving less than 25% of bone marrow), if it was not the sole site of disease. Subjects must have completed radiation treatment and recovered from all acute radiation treatment related toxicities (e.g., bone marrow suppression) prior to commencement of combination treatment.
  The subject must have received all prior chemotherapy treatment at least 4 weeks prior to enrollment in this study and must have recovered from all related toxicities. Subjects who have received weekly dose of prior chemotherapy e.g. gemcitabine or capecitabine may enroll 2 to 3 weeks after cessation of treatment provided that they have recovered from all related toxicities.
  Prior therapy with trastuzumab in the neoadjuvant, adjuvant or metastatic setting was permitted. The subject must have received all prior trastuzumab treatment at least 4 weeks prior to enrollment in this study and must have recovered from all related toxicities.
  Prior endocrine therapy was permitted in the neoadjuvant or adjuvant or metastatic setting. The subject must have received all prior endocrine treatment at least 1 week prior to enrollment in this study and must have recovered from all related toxicities.
  Prior diagnosis of cancer was allowed as long as the subject was free of disease for 5 years. Subjects with completely resected basal or squamous cell skin cancer, thyroid cancer or successfully treated cervical carcinoma in-situ were allowed if it had been 1 year or greater since definitive surgery.
  Subjects must have had measurable disease, according to Response Evaluation Criteria in Solid Tumors (RECIST) guidelines; defined as at least 1 lesion that can be accurately measured in at least 1 dimension (longest diameter [LD] to be recorded) by mammogram, ultrasound or physical exam [Therasse, 2000].
  Subjects with liver metastases or stable chronic liver disease were permitted into the study.
  Women 18 years of age:
  Non-child-bearing potential (i.e., women with functioning ovaries who had a current documented tubal ligation or hysterectomy, or women who were postmenopausal); or
  Child-bearing potential (i.e., women with functioning ovaries and no documented impairment of oviductal or uterine function that would cause sterility). This category included women with oligomenorrhoea (severe), women who were perimenopausal and young women who had begun to menstruate. These subjects must provided a negative serum pregnancy test at Screening and agree to 1 of the following:
  Complete abstinence from intercourse from 2 weeks prior to administration of the first dose of study medication until 5 days after the final dose of study medication; or
  Consistent and correct use of one of the following acceptable methods of birth control:
  Male partner who was sterile prior to the female subject's entry into the study and was the sole sexual partner for that female subject.
  Implants of levonorgestrel.
  Injectable progestogen.
  Any intrauterine device with a documented failure rate of less than 1% per year.
  Oral contraceptives (either combined or progestogen only).
  Barrier methods, including diaphragm or condom with a spermicide.
  Considered by the Investigator to have a life expectancy of 6 months.
  ECOG Performance Status (PS) of 0 or 1 (Karnofsky 80%) [Oken, 1982].
  Subjects must have had normal organ and marrow function as below:
  Hematologic
  Absolute neutrophil count 1.5 × 10^9/L
  Hemoglobin 9 g/dL
  Platelets 100 × 10^9/L
  Hepatic
  Serum bilirubin  upper limit of normal (ULN)
  Aspartate aminotransferase 3 × ULN without liver metastases and alanine aminotransferase 5 × ULN if documented liver metastases
  Renal
  Serum creatinine 1.5 mg/dL
  OR -
  Calculated creatinine clearance 40 mL/min
  Subjects must have had a cardiac ejection fraction of >50% as measured by echocardiogram (ECHO) or multigated acquisition scan (MUGA) and within the institutional range of normal.
  Subjects with stable central nervous system metastases (stable for at least 3 months) as confirmed by computerized tomography (CT)/magnetic resonance imaging (MRI) or evidence of leptomeningeal involvement were eligible only if they were not taking steroids or enzyme-inducing anticonvulsants.
  Subject must have been free of gastrointestinal diseases that impede swallowing and retaining of oral medications.
  Signed, informed consent prior to registration.
  Bisphosphonate therapy for bone metastases was allowed; however, treatment must be initiated prior to the first dose of study medication. Prophylactic use of bisphosphonates in subjects without bone disease, except for the treatment of osteoporosis, was not permitted.
  Subjects whose disease was estrogen receptor + and/or progesterone receptor + or unknown status were included in the study if they met the following criteria:
  They had symptomatic visceral disease that required chemotherapy.
  Significant visceral organ tumor burden
  The disease was considered by the Investigator to be progressing rapidly or life threatening.
  Subjects who have received prior endocrine therapy and who were no longer benefiting from this therapy.
Exclusion Criteria:
  A subject was not be eligible for inclusion in this study if any of the following criteria apply:
  Subjects who received more than one prior chemotherapeutic regimen in the metastatic setting
  Subjects taking treatment with medications provided in the list of restricted medications and substances in the drug information section for lapatinib were not eligible for the study. This included human immunodeficiency virus-positive subjects receiving combination anti-retroviral therapy because of possible pharmacokinetic interactions with lapatinib.
  Prior treatment with lapatinib.
  Concurrent anticancer or concomitant radiotherapy treatment;
  Concurrent treatment with prohibited medications;
  Use of an investigational drug within 30 days or 5 half-lives, whichever was longer, preceding the first dose of investigational treatment, or, concurrent treatment with an investigational agent or participation in another clinical trial involving investigational agents.
  Known history of allergic reactions attributed to compounds of similar chemical or biologic composition to lapatinib or nab-paclitaxel or excipients;
  Known history of uncontrolled inter-current illness including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, clinically significant cardiac arrhythmia, or psychiatric illness/social situations that would have limited compliance with study requirements.
  Had active hepatic or biliary disease (with exception of patients with Gilbert's syndrome, asymptomatic gallstones, liver metastases or stable chronic liver disease per investigator assessment)
  Concurrent disease or condition that would make the subject inappropriate for study participation or any serious medical disorder that would interfere with the subject's safety.
  Pregnant or lactating females at any time during the study (due to the potential teratogenic or abortifacient effects of lapatinib and breastfeeding).
  Subjects with diseases affecting gastrointestinal function resulting in an inability to take oral medication, including; malabsorption syndrome, a requirement for iv alimentation, prior surgical procedures affecting absorption e.g. gastric resection and uncontrolled inflammatory bowel disease (e.g., Crohn's, ulcerative colitis).
  Peripheral neuropathy of Grade 2 or greater.
  Unresolved or unstable, serious toxicity from prior administration of another investigational drug and/or of prior cancer treatment.
  History of prior malignancy. However, subjects who had been disease-free for 5 years, or subjects with completely resected basal or squamous cell skin cancer, thyroid cancer or successfully treated cervical carcinoma in situ were eligible if it had been at least 1 year since definitive surgery.
  or rendering of informed consent.
  Other Eligibility Criteria Considerations:
  To assess any potential impact on subject eligibility with regard to safety, the Investigator must refer to the following document(s) for detailed information regarding warnings, precautions, contraindications, AEs, and other significant data pertaining to the investigational product(s) being used in this study: Clinical Investigator's Brochure (IB), SPM, and the nab-paclitaxel Product Label.","Only female patients of a specific nationality can take part in the primary trial, no such condition is required for participation in the secondary trial.",01,Comparison,Eligibility,P1✗ KATE✓,0.0299625468164794,0.7272727272727273,65.0,0.0,4.0,0.0,19.0,0.0,88.0,12.0,1.0,13.0,1427.0,25.0,2.0,1.0
61,"INTERVENTION 1: 
  Yttrium-90 Radioembolization
  Selective internal radiation therapy using Yttrium-90 glass microspheres (TheraSphere)

INTERVENTION 1: 
  Phase 1b
  In the Phase 1b (safety portion) of the study, a starting dose of 560 mg of ibrutinib and 10 mg/kg of MEDI4736 will be explored and will follow a 6 + 3 dose de-escalation design and will include a sentinel participant which will have a 3-day observation period prior to dosing of subsequent participants. Participants with one of the following three tumor types will be eligible for enrollment: NSCLC (adenocarcinoma and squamous-cell carcinoma), breast cancer (triple-negative and HER2-positive cancer), and Pancreatic cancer (adenocarcinoma).","The the primary trial intervention consists of Radioembolization using TheraSpheres, on the other hand the secondary trial intervention is based on ibrutinib and MEDI4736.",11,Comparison,Intervention,Les 2 corrects,0.09523809523809523,0.4444444444444444,21.0,4.0,0.0,0.0,4.0,0.0,29.0,0.0,0.0,0.0,107.0,24.0,1.0,1.0
62,"Adverse Events 1:
  Total: 0/34 (0.00%)

Adverse Events 1:
  Total: 0/1 (0.00%)",the primary trial and the secondary trial have 0 recorded adverse events.,11,Comparison,Adverse Events,Les 2 corrects,0.21428571428571427,0.3,13.0,1.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,12.0,1.0,1.0
63,"Adverse Events 1:
  Infection * 1/32 (3.13%)

  Infections and infestations - Other, unspecified 1/15 (6.67%)",over 15% of patients in the primary trial and the secondary trial suffered from infections during the study period,11,Comparison,Adverse Events,Les 2 corrects,0.10714285714285714,0.1875,13.0,2.0,2.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,17.0,19.0,1.0,1.0
64,"DISEASE CHARACTERISTICS:
  Lesions must not be within 5 mm of the optic chiasm or within the brainstem
  Diagnosis of cerebral metastases meeting the following criteria:
  One to three presumed brain metastases

  No previous diagnosis of cancer except basal cell carcinoma, resected Stage I melanoma or in situ cervical carcinoma. Volunteers may have had a prior history of other cancers > 3 years which required only local resection, local radiation and/or hormonal therapy such as androgen blockade.","Diagnosis of 2-3 cerebral metastases within the brainstem will result in exclusion from the secondary trial, however patients with this diagnosis may still be eligilbe for the primary trial.",11,Comparison,Eligibility,Les 2 corrects,0.13924050632911392,0.4230769230769231,2.0,2.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,2.0,76.0,30.0,1.0,1.0
65,"Adverse Events 1:
  Total: 0/104 (0.00%)

Adverse Events 1:
  Total: 45/128 (35.16%)
  Anaemia 3/128 (2.34%)
  Febrile neutropenia 2/128 (1.56%)
  Arrhythmia 1/128 (0.78%)
  Cardiac arrest 1/128 (0.78%)
  Cardiac failure 1/128 (0.78%)
  Cardiopulmonary failure 1/128 (0.78%)
  Abdominal pain 2/128 (1.56%)
  Ascites 2/128 (1.56%)
  Intestinal obstruction 2/128 (1.56%)
  Melaena 1/128 (0.78%)
  Nausea 1/128 (0.78%)
  Vomiting 2/128 (1.56%)","The most common adverse event in the secondary trial was Anaemia, affecting more than 5% of patients, there were no recorded AEs in the primary trial.",10,Comparison,Adverse Events,P1✓ KATE✗,0.038461538461538464,0.09090909090909091,102.0,1.0,14.0,1.0,0.0,0.0,118.0,0.0,1.0,1.0,82.0,26.0,1.0,1.0
66,"Outcome Measurement: 
  Average Pain Intensity Score
  Average pain was measured using a 0 (no pain) to 10 (worst pain imaginable) numeric rating scale on a daily basis.
  Change in average pain intensity between the two intervention groups was evaluated from enrollment to the end of the study (i.e., 10 weeks).
  Time frame: 10 weeks
Results 1: 
  Arm/Group Title: Low Dose
  Arm/Group Description: Low dose of the psychoeducational intervention (i.e., 8.0 hours with the intervention nurse over 10 weeks)
  PRO-SELF PLUS Pain Management Program: The psychoeducational intervention will be conducted by specially trained oncology nurses and will include the components of knowledge, skills training, and coaching to improve cancer pain management. Patients in both groups will be seen in their homes over the course of 10 weeks with phone calls conducted in between the home visits. Patients in the HIGH-DOSE group will receive 6 visits and 10 phone calls [total time 12.3 hours]. Patients in the LOW-DOSE group will receive 4 visits and 6 phone calls [8.0 hours]. Follow-up visits to assess the sustainability of the intervention will be done at 2 weeks, 1 month and 3 months after the intervention. Both quantitative and qualitative analyses will be conducted to evaluate patient outcomes.
  Overall Number of Participants Analyzed: 92
  Mean (95% Confidence Interval)
  Unit of Measure: units on a scale  1.192        (.452 to 1.932)
Results 2: 
  Arm/Group Title: High Dose
  Arm/Group Description: High dose of the psychoeducational intervention (i.e., 12.3 hours with the intervention nurse over 10 weeks)
  PRO-SELF PLUS Pain Management Program: The psychoeducational intervention will be conducted by specially trained oncology nurses and will include the components of knowledge, skills training, and coaching to improve cancer pain management. Patients in both groups will be seen in their homes over the course of 10 weeks with phone calls conducted in between the home visits. Patients in the HIGH-DOSE group will receive 6 visits and 10 phone calls [total time 12.3 hours]. Patients in the LOW-DOSE group will receive 4 visits and 6 phone calls [8.0 hours]. Follow-up visits to assess the sustainability of the intervention will be done at 2 weeks, 1 month and 3 months after the intervention. Both quantitative and qualitative analyses will be conducted to evaluate patient outcomes.
  Overall Number of Participants Analyzed: 93
  Mean (95% Confidence Interval)
  Unit of Measure: units on a scale  1.304        (.540 to 2.069)",Several of the patients in the primary trial experienced the no pain whatsoever during the 10 weeks of the study.,11,Single,Results,Les 2 corrects,0.06716417910447761,0.6,78.0,2.0,2.0,0.0,12.0,1.0,95.0,1.0,1.0,2.0,417.0,20.0,1.0,0.0
67,"Significant cardiovascular impairment:
  Congestive heart failure, Clinically significant cardiac arrhythmia, history or current evidence of a myocardial infarction during the last 6 months, and/or a current ECG tracing that is abnormal in the opinion of the treating Investigator, or unstable angina
  QTc prolongation >480 msec (Bazett's Formula) or congenitally long QT syndrome (LQTS)
  Severe/uncontrolled concurrent illness/infection

Exclusion Criteria:
  uncontrolled cardiovascular disease",Any patients with Significant or uncontrolled cardiovascular impairment cannot participate in either the primary trial or the secondary trial.,11,Comparison,Eligibility,Les 2 corrects,0.1111111111111111,0.4375,4.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,65.0,19.0,1.0,1.0
68,"Inclusion Criteria:
  Clinical, Radiographic and Histological diagnosis of Benign Breast Disease.
  Benign Breast disease amenable to hormonal therapy.

DISEASE CHARACTERISTICS:
  History of breast cancer including ductal carcinoma in situ or lobular carcinoma in situ
  - Treated with surgery and/or adjuvant therapy with a curative intent or patients not preferring to take hormones because of concern for breast cancer",Patients diagnosed with malignant ductal carcinoma in situ are eligible for the secondary trial but excluded from the primary trial.,00,Comparison,Eligibility,Les 2 en erreur,0.13725490196078433,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,58.0,20.0,1.0,1.0
69,"Outcome Measurement: 
  Number of Emesis Free Participants During the Study Period.
  To compare the efficacy of aprepitant plus standard therapy to placebo plus standard therapy in control of nausea and vomiting during conditioning therapy for autologous or allogeneic hematopoietic stem cell transplantation (HSCT) as defined by the number of retch/emesis free days during the study period
  Time frame: Up to three weeks
Results 2: 
  Arm/Group Title: Placebo (Sugar Pill)
  Arm/Group Description: Loading dose of 125 mg capsule once a day for one day, then maintenance dose of 80 mg capsule daily through Day +4 of Bone Marrow Transplant
  Overall Number of Participants Analyzed: 20
  Measure Type: Number
  Unit of Measure: Participants  5",All Patients receiving the placebo intervention in the primary trial experienced emesis,01,Single,Results,P1✗ KATE✓,0.047619047619047616,0.36363636363636365,10.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,115.0,12.0,1.0,0.0
70,"Diagnosis of anemia only due to iron-deficiency
  Diagnosis of thalasemic syndromes

  Diagnosis of fibromyalgia","Any cancer patient diagnosed with either Epilepsy , thalasemic syndromes or anemia cannot be eligible for both the primary trial and the secondary trial.",11,Comparison,Eligibility,Les 2 corrects,0.10344827586206896,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,23.0,1.0,1.0
