index,premise,hypothesis,true_label,predicted_label,is_correct,premise_len,hypothesis_len,prompt_len,length_bin,type,section_id
10,"Inclusion Criteria:
  Adults with histologically or cytologically confirmed breast adenocarcinoma
  radiographic evidence of at least one bone mets
  Easter Cooperative Oncology Group status of 0, 1 or 2;
  adequate organ function
Exclusion Criteria:
  Current or prior IV bisphosphonate administration
  current or prior oral bisphosphonates for bone mets
  life expectancy of less than 6 months

  Patients must have histologically confirmed breast cancer that is ER positive and/or PR positive, and HER2/neu negative and have disease that is metastatic (stage IV)
  HER2/neu negative disease determined using commercially available/approved assay in local institutional or reference laboratory, according to American Society of Clinical Oncology (ASCO)/College of American Pathologists (CAP) guidelines (IHC 0-1+ or 2+ with HER2/17 ratio on FISH <= 1.8).
  ER/PR expression performed by standard immunohistochemical assay and classified as ER and/or PR-positive according to ASCO/CAP guidelines (1-100% expression)
  Histologic and/or cytologic confirmation of metastatic disease is encouraged whenever feasible, furthermore, if feasible, the biopsy should confirm that the metastatic tumor is ER and/or PR positive and HER2/neu negative. For patients in whom histologic biopsy confirmation and/or assessment of ER/PR/HER2 of metastatic disease is not feasible, it is required that the primary tumor be ER and/or PR-positive and HER2/neu negative.","Patients with histologically confirmed stage 4 breast adenocarcinoma that is either ER positive, PR positive, or HER2/neu negative are eligible for both the secondary trial and the primary trial.",Contradiction,Contradiction,True,1450,195,1645,Long,Comparison,Eligibility
11,"Outcome Measurement: 
  To Evaluate the Efficacy of Flaxseed on Hot Flash Scores in Women as Measured by a Daily Prospective Hot Flash Diary.
  The intra-patient difference in hot flash activity between baseline (study week 1) and treatment termination (study week 7) is the primary endpoint. The hot flash activity will be measured by the weekly average hot flash score which is a composite entity of both frequency and severity of hot flashes.
  The hot flash severities are graded from 1 to 4, ranging from mild, to moderate, to severe to very severe. The daily hot flash score is computed by multiplying the mean grade of severity by the frequency during every 24 hour period. Therefore, a score of zero is the lowest possible score and can be interpreted as having no hot flashes. The average daily hot flash score during the baseline week was compared to the average daily value during week 7.
  The primary method of analysis will be the independent sample t-test to examine the change of weekly average hot flash score from baseline to treatment termination between flaxseed and placebo arms.
  Time frame: Baseline and 7 weeks

Outcome Measurement: 
  Overall Response Rate (ORR)
  Response defined per Response Evaluation Criteria In Solid Tumors (RECIST) criteria: Complete Response (CR)=disappearance of all target lesions; Partial Response (PR)=30% decrease in sum of longest diameter of target lesions; Progressive Disease=20% increase in sum of longest diameter of target lesions; Stable Disease=small changes that do not meet above criteria. ORR was defined as the proportion of participants who achieved a best response of either CR or PR. ORR=number of participants with CR or PR/number of participants qualified for tumor response analysis (per-protocol population).
  Time frame: baseline & every 2 cycles (approximately 8 weeks) of treatment to measured progressive disease (PD) & post-therapy until PD or other therapy initiated (up to 35 months)",the secondary trial and the primary trial results contain completely different outcome measures,Entailment,Entailment,True,1968,95,2063,Long,Comparison,Results
12,"INTERVENTION 1: 
  Stratum 1 (AC->T + Bevacizumab)
  HER2-negative participants administered
  doxorubicin and cyclophosphamide (AC) + bevacizumab for 4 cycles followed by
  docetaxel (T) + bevacizumab for 4 cycles followed by
  bevacizumab maintenance therapy for total of 52 weeks from date of first dose regardless of number of doses received or missed
INTERVENTION 2: 
  Stratum 2 (TAC + Bevacizumab)
  HER2-negative participants administered
  docetaxel, doxorubicin, cyclophosphamide (TAC) + bevacizumab for 6 cycles followed by
  bevacizumab maintenance therapy for total of 52 weeks from date of first dose regardless of number of doses received or missed",the primary trial participants do not receive any vaccines,Entailment,Entailment,True,663,58,721,Moyen,Single,Intervention
13,"INTERVENTION 1: 
  Part A: V935 LD
  Two IM injections of V935 low dose (LD), 1 given every other week over a 3-week period.
INTERVENTION 2: 
  Part A: V934 LD(3)+V935 LD
  Three electroporation (EP) injections of V934 (LD) were administered, 1 given every other week over a 5-week period. Following a 4 week observation period, 2 IM injections of V935 (LD) were administered, 1 given every other week over a 3-week period.",Cohort A and B of the primary trial are administered the same Three electroporation injections of LD V934,Contradiction,Entailment,False,423,105,528,Moyen,Single,Intervention
14,"Unit of Measure: cm  2.7         (1.1)

  Unit of Measure: Participants  Complete response: 0   0.0%",the secondary trial and the primary trial use different units of measure in their results.,Entailment,Entailment,True,100,90,190,Court,Comparison,Results
15,"Results 1: 
  Arm/Group Title: FFDM Mammography Exam - LIP Algorithm
  Arm/Group Description: Screening or diagnostic Full Field Digital Mammography (FFDM) exam
  Overall Number of Participants Analyzed: 130
  Overall Number of Units Analyzed
  Type of Units Analyzed: Breasts  Mean (Standard Error)Unit of Measure: probability: 0.884         (0.008)
Results 2: 
  Arm/Group Title: FFDM Mammography Exam - SIP Algorithm
  Arm/Group Description: The same 130 raw data images were externally reprocessed with the Siemens processing algorithm.
  Overall Number of Participants Analyzed: 130
  Overall Number of Units Analyzed
  Type of Units Analyzed: Breasts  Mean (Standard Error)Unit of Measure: probability: 0.880         (0.008)

Results 1: 
  Arm/Group Title: Reflexology Group
  Arm/Group Description: The experimental group included 47 women with breast cancer scheduled for adjunctive radiation treatment. The women received reflexology treatment initiated at the beginning of radiation therapy, once a week (45 min each), for 10 weeks.
  Overall Number of Participants Analyzed: 33
  Mean (Standard Deviation)
  Unit of Measure: units on a scale  begining of the study: 3.71         (1.76)
  5 weeks: 3.9         (1.57)
  10 weeks: 3.6         (1.45)
Results 2: 
  Arm/Group Title: Control Group
  Arm/Group Description: The control group (no intervention,treatment as usual)included 25 breast cancer patients, scheduled for adjunctive radiation treatment, who completed the same questionnaires at the same time points as the as the intervention group.
  Overall Number of Participants Analyzed: 20
  Mean (Standard Deviation)
  Unit of Measure: units on a scale  begining of the study: 3.68         (1.56)
  5 weeks: 5.32         (1.61)
  10 weeks: 4.52         (2.05)","There were no significant differences in the results from the groups in the primary trial, and the Reflexology Group and control group in the secondary trial produced identical results.",Contradiction,Contradiction,True,1776,185,1961,Long,Comparison,Results
16,"Outcome Measurement: 
  Ki67 Expression
  Ki67 expression change from baseline to 6 weeks
  Time frame: Baseline to 6 weeks
Results 1: 
  Arm/Group Title: TAK-228 Plus Tamoxifen
  Arm/Group Description: TAK-228 will be orally administered at 30 mg weekly for 16 weeks.
  Tamoxifen will be orally administered at 20 mg daily for 16 weeks.
  TAK-228: MTORC1/2 inhibitor
  Tamoxifen: Non-steroidal anti-estrogen
  Overall Number of Participants Analyzed: 23
  Median (Inter-Quartile Range)
  Unit of Measure: Percentage of cells with Ki67 expression  Ki67 expression at baseline: 15        (10 to 25)
  Ki67 expression at 6 weeks: 10        (2 to 38)",Over 6 weeks of TAK-228 Plus Tamoxifen treatment patients in the primary trial experienced a 5% reduction in the Percentage of cells with Ki67 expression,Entailment,Entailment,True,647,153,800,Moyen,Single,Results
17,"Outcome Measurement: 
  Comparison of Operative Time Savings
  To compare the overall operative time savings using intra-operative digital mammography compared with standard specimen mammography.
  Time frame: At the time of the procedure (approximately 1 week after randomization)
Results 1: 
  Arm/Group Title: Intra-operative Mammography
  Arm/Group Description: Intra-operative Specimen Mammography
  Intra-operative Mammography: The patient's breast specimen will be imagine in the operating room in an intra-operative imaging device - Biovision SN #30042
  Overall Number of Participants Analyzed: 36
  Median (Full Range)
  Unit of Measure: Minutes  Procedure Time: 48.5        (17 to 138)
  OR Time: 68        (29 to 180)
Results 2: 
  Arm/Group Title: Standard Mammography
  Arm/Group Description: Standard Specimen Mammography
  Standard Mammography: There is not an added device associated with this arm.
  Overall Number of Participants Analyzed: 36
  Median (Full Range)
  Unit of Measure: Minutes  Procedure Time: 54        (17 to 140)
  OR Time: 74        (35 to 177)

Outcome Measurement: 
  Success Rate
  Success rate was defined as the percentage of participants experiencing all of the following: 1) completion of PMRT and placement of the permanent implant and/or flap reconstruction; 2) no major complications (infection requiring hospitalization, major revisions, early/severe capsular contracture, or pain requiring implant removal); and 3) a physician-reported 'excellent' or 'good' cosmetic result (not 'fair' or 'poor') at 2 years following PMRT (requiring a stable reconstruction with good symmetry and contour relative to the contralateral breast).
  Time frame: 2 years
Results 1: 
  Arm/Group Title: TE-ADM With PMRT
  Arm/Group Description: Participants received immediate breast reconstruction using a sub-muscular tissue expander (TE) and acellular dermal matrix (ADM) sling placed during the same surgery. This was followed by post-mastectomy radiation therapy (PMRT) no sooner than a minimum of 6 weeks and optimally 6 months, if adjuvant chemotherapy was required. The prescribed chest-wall dose was 50 -50.4 gray (Gy) in 25-28 fractions given once daily over 5-7 weeks with a 0.5-centimeter (cm) bolus to the scar every other day. Permanent reconstruction was performed at least 5 months after completion of PMRT.
  Overall Number of Participants Analyzed: 26
  Measure Type: Number
  Unit of Measure: percentage of participants  65.4        (44.3 to 82.8)","Arm 2 of the primary trial had higher Operative Time than Arm 1, therefore Intra-operative Mammography performed better than the Standard Mammography in this regard. In the secondary trial there is no control group against which we can compare.",Entailment,Entailment,True,2494,244,2738,Long,Comparison,Results
18,"ANGINA PECTORIS 1/2002 (0.05%)
  CARDIAC ARREST 1/2002 (0.05%)
  CARDIAC FAILURE 1/2002 (0.05%)
  CARDIAC TAMPONADE 1/2002 (0.05%)",there are several different instances of cardiac related AE recorded for cohort 1 of the primary trial,Entailment,Entailment,True,130,102,232,Court,Single,Adverse Events
19,"Adverse Events 1:
  Total: 3/37 (8.11%)
  Sinus tachycardia 0/37 (0.00%)
  Heart failure 0/37 (0.00%)
  Dehydration 1/37 (2.70%)
  Death Not Associated with CTCAE: Death NOS 1/37 (2.70%)
  Lymphopenia 1/37 (2.70%)
  Neutropenia 1/37 (2.70%)
  Thrombocytopenia 0/37 (0.00%)
  Hyponatremia 1/37 (2.70%)
  Weight loss 0/37 (0.00%)
Adverse Events 2:
  Total: 0/38 (0.00%)
  Sinus tachycardia 0/38 (0.00%)
  Heart failure 0/38 (0.00%)
  Dehydration 0/38 (0.00%)
  Death Not Associated with CTCAE: Death NOS 0/38 (0.00%)
  Lymphopenia 0/38 (0.00%)
  Neutropenia 0/38 (0.00%)
  Thrombocytopenia 0/38 (0.00%)
  Hyponatremia 0/38 (0.00%)
  Weight loss 0/38 (0.00%)

Adverse Events 1:
  Total: 1/52 (1.92%)
  Thromboembolic Event  1/52 (1.92%)",Patients in the primary trial and the secondary trial  suffered Thromboembolic events.,Contradiction,Contradiction,True,733,86,819,Moyen,Comparison,Adverse Events
20,"INTERVENTION 1: 
  Arm I (Zoledroic Acid)
  Beginning 60-90 days after surgery, patients receive zoledronate IV over 15 minutes once in months 3, 9, and 15.
  Laboratory Biomarker Analysis: Correlative studies
  Zoledronic Acid: Given IV

INTERVENTION 1: 
  Arm II
  Patients receive granisetron hydrochloride IV, dexamethasone IV, and oral placebo once on day 1 and oral prochlorperazine 3 times daily and another oral placebo once daily on days 2 and 3.
  placebo : Given orally
  prochlorperazine : Given orally or IV
  granisetron hydrochloride : Given orally or IV
  dexamethasone : Given orally or IV
INTERVENTION 2: 
  Arm III
  Patients receive palonosetron hydrochloride IV and dexamethasone IV once on day 1, oral aprepitant once daily on days 1-3, and oral dexamethasone once daily and oral placebo twice daily on days 2 and 3.
  placebo : Given orally
  aprepitant : Given orally or IV
  palonosetron hydrochloride : Given orally or IV
  dexamethasone : Given orally or IV","intervention 1 in the primary trial, and all intervention drugs in the secondary trial must be administered intravenously.",Contradiction,Contradiction,True,984,122,1106,Long,Comparison,Intervention
21,"Hypertension 1/8 (12.50%)
  Hepatotoxicity 3/8 (37.50%)
  Pancreatectomy * 1/8 (12.50%)",in the primary trial there were 10 times the number of Hepatotoxicity cases as there were cases of hypertension and Pancreatectomy,Contradiction,Contradiction,True,87,130,217,Court,Single,Adverse Events
22,"Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 2

  ECOG 0-2 OR Karnofsky 60-100%",candidates Capable of only limited selfcare; confined to bed or chair more than 50% of waking hours are eligible for both the primary trial and the secondary trial,Contradiction,Contradiction,True,103,163,266,Court,Comparison,Eligibility
23,"Adverse Events 1:
  Total: 0/147 (0.00%)","Cohort 1 of the primary trial did not report any Aes, however almost all of cohort 2 candidates suffered at least one ae",Contradiction,Contradiction,True,40,120,160,Court,Single,Adverse Events
24,"Inclusion Criteria:
  Able to give written informed consent to participate in the study
  Able to read and write English
  Patients with breast lesions that are non-palpable that require surgical removal
  Lesions and/or clip targetable with image guidance
Exclusion Criteria:
  Multicentric breast cancer
  Stage IV breast cancer
  Pregnant or lactating females

EXCLUSION CRITERIA:
  Patients who have had chemotherapy or radiotherapy within two weeks, 4 weeks for nitrosoureas, mitomycin C, pegylated-doxorubicin and one half-life for bevacizumab, hormone therapy within one week, trastuzumab within 2 weeks or lapatinib within one week of study Day 1.
  Congestive heart failure, Clinically significant cardiac arrhythmia, history or current evidence of a myocardial infarction during the last 6 months, and/or a current ECG tracing that is abnormal in the opinion of the treating Investigator, or unstable angina
  QTc prolongation >480 msec (Bazett's Formula) or congenitally long QT syndrome (LQTS)
  Patients with > Grade 1 neuropathy at screening","Patients who have received chemotherapy or radiotherapy in the last 2 weeks, suffer from unstable angina, or have Grade 2 or above neuropathy cannot take part in the secondary trial, but can still take part in the primary trial, unless they have non-healing surgical wounds.",Contradiction,Contradiction,True,1055,274,1329,Long,Comparison,Eligibility
25,"Inclusion Criteria:
  Subjects who were confirmed to have a response after receiving at least two courses of weekly paclitaxel therapy and considered to need to continue the therapy by the investigator/subinvestigator among the patients with advanced or recurrent breast cancer who had met the selection criteria and participated in the preceding phase II clinical study

  The patient is ambulatory with a functional ECOG < 2 status (see Appendix 2).","the secondary trial  candidates must meet some Performance Status condition to participate, whereas this is not required to be accepted into the primary trial",Entailment,Entailment,True,451,158,609,Moyen,Comparison,Eligibility
26,"Adverse Events 1:
  Total: 16/51 (31.37%)
  Blood disorder 1/51 (1.96%)
  Hypomagnesemia 1/51 (1.96%)
  Platelets count decrease 1/51 (1.96%)
  Thrombosis 1/51 (1.96%)
  Vision-blurred vision 1/51 (1.96%)
  Constipation 1/51 (1.96%)
  Radiation oesophagitis 1/51 (1.96%)
  Nausea 2/51 (3.92%)
  Vomiting 2/51 (3.92%)
  General symptom 2/51 (3.92%)
  Headache 1/51 (1.96%)
  Bone pain 1/51 (1.96%)",Coronary artery stenosis are the most common AE recorded in the primary trial,Contradiction,Contradiction,True,396,77,473,Court,Single,Adverse Events
27,"INTERVENTION 1: 
  Gefitinib (ZD1839)
  ZD1839 at a daily dose of 250 mg or 500 mg depending on final dose in parent trial

INTERVENTION 1: 
  Zoledronic Acid
  Zoledronic acid, vitamin D and calcium supplements.
INTERVENTION 2: 
  Zoledronic Acid + Radiopharmaceuticals
  Zoledronic acid, vitamin D and calcium supplements, plus Sr-89 or Sm-153.","The intervention in the primary trial consists of a single drug, whereas in the secondary trial the intervention requires at least 3 different drugs.",Entailment,Entailment,True,346,149,495,Court,Comparison,Intervention
28,No evidence of dementia - Mini Mental State Examination (MMSE) >=23 but some evidence of cognitive impairment,patients with Fronto-temporal dementia or Mixed dementia are eligible for the primary trial,Contradiction,Contradiction,True,109,91,200,Court,Single,Eligibility
29,"Overall Number of Participants Analyzed: 1420
  Overall Number of Participants Analyzed: 1420",Both cohorts of the primary trial contained the same number of participants,Entailment,Entailment,True,93,75,168,Court,Single,Results
30,"Exclusion Criteria:
  History of clotting disorder (hypercoagulable state)

  Have breast implant(s);",Patients that have a history of pulmonary embolisms and currently have breast implants cannot participate in the secondary trial or the primary trial.,Entailment,Entailment,True,101,150,251,Court,Comparison,Eligibility
31,"Adverse Events 1:
  Total: 0/14 (0.00%)
Adverse Events 2:
  Total: 0/7 (0.00%)

Adverse Events 1:
  Total: 21/337 (6.23%)
  Blood/Bone Marrow-Other 0/337 (0.00%)
  Febrile neutropenia 0/337 (0.00%)
  Hemoglobin 2/337 (0.59%)
  Atrioventricular block - 2nd degree Mobitz Type II 0/337 (0.00%)
  Cardiac-ischemia/infarction 1/337 (0.30%)
  Left ventricular diastolic dysfunction 0/337 (0.00%)
  Left ventricular systolic dysfunction 1/337 (0.30%)
  Restrictive cardiomyopathy 1/337 (0.30%)
Adverse Events 2:
  Total: 48/348 (13.79%)
  Blood/Bone Marrow-Other 1/348 (0.29%)
  Febrile neutropenia 1/348 (0.29%)
  Hemoglobin 1/348 (0.29%)
  Atrioventricular block - 2nd degree Mobitz Type II 1/348 (0.29%)
  Cardiac-ischemia/infarction 2/348 (0.57%)
  Left ventricular diastolic dysfunction 1/348 (0.29%)
  Left ventricular systolic dysfunction 0/348 (0.00%)
  Restrictive cardiomyopathy 0/348 (0.00%)","There are less total adverse events in the primary trial than in the secondary trial, but more cases of Cardiac-ischemia/infarction in the primary trial than in the secondary trial",Contradiction,Contradiction,True,896,180,1076,Long,Comparison,Adverse Events
32,"INTERVENTION 1: 
  Dendritic Cell Vaccine
  Therapeutic autologous dendritic cells (Dendritic Cell Vaccine) i.d. injection, 20 x 106 DCs given per treatment Trastuzumab infusion Vinorelbine ditartrate infusion
  sargramostim: All patients will receive Leukine (GM-CSF) at 250 mcg/m2 starting one day after the administration of chemotherapy x 7 days. Patients with neutrophil counts below 1,000/mm3 on day 8 will continue GM-CSF therapy until the neutrophil count is greater than 1,000/mm3.
  therapeutic autologous dendritic cells: patients will receive (10 x 106) peptide-pulsed DCs given by i.d injection into either axilla or the inguinal region with each peptide given into a separate site. The total dose will be 20 x 106 DCs given per treatment.
  trastuzumab: Trastuzumab will be infused in the side-port of a freely flowing IV over 90 minutes and at 6mg/kg if the subject has not previously received Trastuzumab, or if it has been more than 30 days since any prior trastuzumab administration.",Patients in the primary trial will need to receive one single injection on day 8 of the study.,Contradiction,Contradiction,True,1001,94,1095,Long,Single,Intervention
33,"INTERVENTION 2: 
  Dexmedetomidine
  administration of 0.5ug/kg of dexmedetomidine (5ml)
  Dexmedetomidine: administration of dexmedetomidine only

INTERVENTION 1: 
  Baseline
  All patients that are evaluable for joint aches and vitamin D levels.
INTERVENTION 2: 
  Post Vitamin D Repletion (1 Month)
  Patients with vitamin D deficiency who experience myalgias, arthralgias and/or joint stiffness.","Group 2 of the primary trial recieves 0.5ug/kg of myalgias (5ml), patients in the secondary trial cohorts do not receive any myalgias.",Contradiction,Contradiction,True,399,134,533,Moyen,Comparison,Intervention
34,"DISEASE CHARACTERISTICS:
  Diagnosis of cerebral metastases meeting the following criteria:
  One to three presumed brain metastases

  No previous diagnosis of cancer except basal cell carcinoma, resected Stage I melanoma or in situ cervical carcinoma. Volunteers may have had a prior history of other cancers > 3 years which required only local resection, local radiation and/or hormonal therapy such as androgen blockade.","Diagnosis of 2-3 cerebral metastases will result in exclusion from the secondary trial, however patients with this diagnosis may still be eligilbe for the primary trial.",Entailment,Entailment,True,424,169,593,Moyen,Comparison,Eligibility
35,No meningeal carcinomatosis,A patient diagnosed with a leptomeningeal carcinoma would not be eligible for the primary trial,Entailment,Contradiction,False,27,95,122,Court,Single,Eligibility
36,"Exclusion Criteria:
  Use of Herceptin in previous 5 months

  PRIOR CONCURRENT THERAPY:
  No prior gabapentin or pregabalin","Prior treatment with gabapentin or herceptin within the last year, will result in exclusion from the secondary trial, but not from the primary trial.",Contradiction,Contradiction,True,124,149,273,Court,Comparison,Eligibility
37,"INTERVENTION 1: 
  Arm I - Memantine
  Participants receive memantine hydrochloride PO BID) on days 1-81 in the absence of unacceptable toxicity.
  memantine hydrochloride: Estimate participation, accrual, adherence, and retention of cancer survivors who smoke and are randomized to receive memantine (10 mg twice daily) or a matching placebo for 12 weeks.
INTERVENTION 2: 
  Arm II - Placebo
  Participants receive a placebo PO BID on days 1-81 in the absence of unacceptable toxicity.
  placebo: Placebo by mouth through completion of 12 weeks.","In the primary trial the placebo intervention and the Memantine intervention are both administered orally, once daily.",Contradiction,Contradiction,True,546,118,664,Moyen,Single,Intervention
